item_name,date,time,period,purchase_cost,branch_location
Kaju Katli,2025-02-11,09:39:54,Morning,1495.1,Basavanagudi
Halwa (Assorted),2025-02-01,20:29:28,Evening,1012.25,Basavanagudi
Chiroti,2025-01-31,19:54:06,Evening,358.76,Koramangala
Halwa (Assorted),2024-11-11,22:31:42,Night,535.74,Indiranagar
Mysore Pak,2025-01-16,21:48:49,Evening,1103.91,Jayanagar
Badam Milk,2024-08-13,10:10:47,Morning,51.57,HSR Layout
Chiroti,2025-04-20,12:14:13,Afternoon,89.71,Koramangala
Samosa,2024-03-19,17:53:31,Evening,69.93,HSR Layout
Badam Milk,2024-06-10,11:30:12,Morning,48.36,Koramangala
Pista Roll,2024-03-02,16:44:48,Afternoon,1866.26,Basavanagudi
Sohan Papdi,2024-06-12,10:26:44,Morning,510.94,Basavanagudi
Rasgulla,2024-05-26,13:42:11,Afternoon,157.5,Vijayanagar
Mysore Pak,2025-03-14,12:35:02,Afternoon,629.84,Electronic City
Jalebi,2025-03-15,22:59:43,Night,671.95,Indiranagar
Milk Burfi,2025-03-16,10:54:54,Morning,402.79,Electronic City
Samosa,2024-11-03,19:57:44,Evening,48.18,Malleswaram
Gulab Jamun,2024-03-06,11:54:12,Morning,26.49,Vijayanagar
Pista Roll,2024-02-10,15:40:06,Afternoon,2130.93,Basavanagudi
Halwa (Assorted),2024-03-25,11:05:43,Morning,285.12,Vijayanagar
Rasgulla,2025-05-21,10:56:33,Morning,73.26,Electronic City
Halwa (Assorted),2025-05-29,20:55:40,Evening,405.1,Jayanagar
Milk Burfi,2024-01-30,22:40:21,Night,418.77,Malleswaram
Rasgulla,2024-05-31,13:15:54,Afternoon,124.41,Vijayanagar
Kesar Peda,2024-04-12,20:31:25,Evening,709.78,RR Nagar
Mysore Pak,2024-03-30,15:25:43,Afternoon,1110.74,Vijayanagar
Sohan Papdi,2025-02-23,09:26:19,Morning,605.03,HSR Layout
Gulab Jamun,2025-02-03,10:49:05,Morning,31.78,RR Nagar
Rasgulla,2024-09-01,16:03:14,Afternoon,142.22,Basavanagudi
Jalebi,2024-06-28,15:45:02,Afternoon,312.46,Indiranagar
Gulab Jamun,2024-06-20,15:44:33,Afternoon,47.87,Indiranagar
Jalebi,2024-02-29,11:25:35,Morning,284.88,Indiranagar
Pista Roll,2025-07-04,15:20:07,Afternoon,1416.48,Basavanagudi
Chiroti,2024-02-11,17:56:21,Evening,155.92,Jayanagar
Chiroti,2025-03-23,15:58:57,Afternoon,180.33,Jayanagar
Badam Milk,2025-01-07,14:56:01,Afternoon,161.9,Indiranagar
Gulab Jamun,2025-05-06,21:06:42,Evening,77.18,Indiranagar
Milk Burfi,2025-03-29,18:14:11,Evening,922.47,Vijayanagar
Milk Burfi,2024-02-15,09:35:31,Morning,967.65,Basavanagudi
Pista Roll,2025-05-25,19:04:01,Evening,2026.2,Electronic City
Badam Milk,2024-08-13,22:10:45,Night,82.53,Electronic City
Badam Milk,2024-02-11,11:20:14,Morning,203.4,Indiranagar
Rasgulla,2024-01-16,10:30:44,Morning,128.46,Vijayanagar
Samosa,2025-04-09,18:15:20,Evening,31.9,Basavanagudi
Milk Burfi,2025-03-10,12:38:24,Afternoon,1070.3,HSR Layout
Kesar Peda,2024-03-31,08:28:55,Morning,562.65,Basavanagudi
Kesar Peda,2024-04-01,22:22:52,Night,360.55,HSR Layout
Pista Roll,2024-08-16,13:30:59,Afternoon,1984.02,Basavanagudi
Pista Roll,2024-04-23,16:37:49,Afternoon,1975.11,RR Nagar
Milk Burfi,2025-04-03,09:10:07,Morning,1126.0,Indiranagar
Mysore Pak,2025-04-28,21:43:29,Evening,1083.85,Koramangala
Kaju Katli,2025-07-02,16:54:43,Afternoon,1840.5,Jayanagar
Kesar Peda,2025-06-30,10:47:19,Morning,790.58,Electronic City
Badam Milk,2024-10-21,11:36:08,Morning,138.93,Vijayanagar
Kaju Katli,2024-02-02,19:15:01,Evening,648.94,Vijayanagar
Samosa,2025-07-14,21:59:15,Evening,37.78,Malleswaram
Halwa (Assorted),2025-04-06,15:42:08,Afternoon,914.59,Malleswaram
Jalebi,2025-01-17,18:53:27,Evening,427.03,Indiranagar
Rasgulla,2024-08-18,11:43:36,Morning,62.83,Electronic City
Badam Milk,2025-02-12,10:45:55,Morning,220.82,Basavanagudi
Badam Milk,2024-06-28,19:25:56,Evening,161.24,Jayanagar
Jalebi,2024-06-02,21:59:25,Evening,656.56,Malleswaram
Laddoo (Boondi),2024-09-05,18:56:22,Evening,305.12,Jayanagar
Mysore Pak,2024-12-08,18:25:50,Evening,690.16,Koramangala
Dharwad Peda,2024-04-20,18:52:18,Evening,288.73,Malleswaram
Halwa (Assorted),2025-01-18,18:24:44,Evening,516.86,Basavanagudi
Mysore Pak,2024-11-03,10:19:36,Morning,949.09,Basavanagudi
Pista Roll,2024-11-15,18:22:33,Evening,865.91,Malleswaram
Sohan Papdi,2024-04-30,22:13:22,Night,688.17,Electronic City
Sohan Papdi,2024-01-22,10:56:47,Morning,390.84,Jayanagar
Jalebi,2025-06-17,18:46:32,Evening,672.33,Basavanagudi
Badam Milk,2024-07-31,17:02:26,Evening,201.12,Electronic City
Halwa (Assorted),2024-04-01,21:14:27,Evening,904.87,Basavanagudi
Sohan Papdi,2025-02-01,17:27:28,Evening,439.49,RR Nagar
Kesar Peda,2025-04-29,10:50:20,Morning,346.16,HSR Layout
Dharwad Peda,2025-06-07,21:11:28,Evening,750.22,RR Nagar
Halwa (Assorted),2024-07-11,18:02:38,Evening,573.38,Malleswaram
Kaju Katli,2025-02-24,09:57:05,Morning,849.53,HSR Layout
Samosa,2025-04-16,18:39:45,Evening,72.6,HSR Layout
Dharwad Peda,2024-04-13,21:56:37,Evening,516.24,Electronic City
Mysore Pak,2024-11-04,18:00:17,Evening,905.44,HSR Layout
Samosa,2025-04-19,22:00:36,Night,32.52,Electronic City
Kaju Katli,2025-03-09,09:13:21,Morning,2128.61,RR Nagar
Gulab Jamun,2025-07-01,20:07:41,Evening,77.01,Electronic City
Mysore Pak,2025-06-06,21:50:51,Evening,289.44,Electronic City
Chiroti,2024-04-20,21:42:55,Evening,363.66,Basavanagudi
Jalebi,2024-08-23,18:23:58,Evening,679.47,Indiranagar
Chiroti,2024-11-28,19:52:32,Evening,406.8,Indiranagar
Kesar Peda,2024-11-16,18:50:39,Evening,1363.82,RR Nagar
Dharwad Peda,2025-02-25,15:13:18,Afternoon,487.17,Malleswaram
Laddoo (Boondi),2024-06-06,11:16:08,Morning,832.72,RR Nagar
Milk Burfi,2024-12-16,21:48:53,Evening,801.06,Malleswaram
Jalebi,2024-08-22,13:26:38,Afternoon,610.62,Electronic City
Pista Roll,2024-08-09,17:19:08,Evening,883.33,Jayanagar
Kaju Katli,2024-12-16,13:59:52,Afternoon,1681.96,Basavanagudi
Mysore Pak,2025-01-26,12:44:37,Afternoon,239.69,Malleswaram
Kesar Peda,2024-11-26,20:38:12,Evening,302.91,Electronic City
Rasgulla,2024-04-16,08:24:50,Morning,105.17,Koramangala
Sohan Papdi,2024-02-18,12:44:07,Afternoon,339.45,Koramangala
Halwa (Assorted),2024-01-23,19:03:01,Evening,332.13,Koramangala
Kesar Peda,2025-03-05,16:10:15,Afternoon,1327.32,Indiranagar
Milk Burfi,2024-07-04,13:52:22,Afternoon,278.11,Basavanagudi
Kaju Katli,2024-08-15,12:40:16,Afternoon,1717.82,Indiranagar
Dharwad Peda,2024-12-11,20:37:45,Evening,599.42,Indiranagar
Jalebi,2025-07-13,09:59:06,Morning,388.42,RR Nagar
Mysore Pak,2024-09-22,20:21:02,Evening,463.59,Vijayanagar
Mysore Pak,2025-04-24,12:11:26,Afternoon,984.51,HSR Layout
Chiroti,2024-02-08,08:21:17,Morning,322.55,RR Nagar
Chiroti,2025-04-06,15:40:21,Afternoon,266.95,Basavanagudi
Dharwad Peda,2024-08-04,09:20:00,Morning,712.98,Electronic City
Kaju Katli,2025-07-08,11:03:26,Morning,806.81,Malleswaram
Milk Burfi,2025-06-09,15:52:24,Afternoon,227.78,Electronic City
Sohan Papdi,2024-06-16,14:56:56,Afternoon,783.23,Malleswaram
Gulab Jamun,2024-05-09,21:45:23,Evening,54.48,Basavanagudi
Kaju Katli,2024-09-14,15:13:28,Afternoon,1807.55,Koramangala
Milk Burfi,2024-08-14,18:55:10,Evening,1128.67,Basavanagudi
Badam Milk,2024-09-04,18:37:30,Evening,96.5,Indiranagar
Chiroti,2024-10-18,21:33:30,Evening,178.02,Malleswaram
Kesar Peda,2024-04-19,18:11:01,Evening,733.23,Koramangala
Dharwad Peda,2025-02-05,09:57:29,Morning,803.33,HSR Layout
Rasgulla,2025-04-25,19:28:04,Evening,58.18,Electronic City
Samosa,2024-08-30,13:49:29,Afternoon,23.28,Koramangala
Gulab Jamun,2024-06-01,20:58:40,Evening,29.63,Koramangala
Kesar Peda,2024-07-24,13:58:31,Afternoon,1127.27,Basavanagudi
Laddoo (Boondi),2024-03-09,16:47:32,Afternoon,573.95,HSR Layout
Laddoo (Boondi),2024-03-14,15:54:40,Afternoon,298.93,Koramangala
Laddoo (Boondi),2024-11-20,16:54:23,Afternoon,377.94,Indiranagar
Kesar Peda,2025-03-02,10:00:21,Morning,1320.45,RR Nagar
Mysore Pak,2024-10-05,22:35:28,Night,1132.05,Jayanagar
Kesar Peda,2024-07-15,13:16:07,Afternoon,454.86,Jayanagar
Laddoo (Boondi),2024-06-27,22:19:07,Night,675.82,RR Nagar
Milk Burfi,2024-03-16,19:06:04,Evening,266.86,Vijayanagar
Halwa (Assorted),2024-07-03,15:30:26,Afternoon,756.54,Basavanagudi
Milk Burfi,2024-10-01,14:04:38,Afternoon,309.56,Koramangala
Gulab Jamun,2024-03-24,13:44:45,Afternoon,122.55,Malleswaram
Gulab Jamun,2025-03-31,12:55:02,Afternoon,95.38,Electronic City
Dharwad Peda,2025-04-17,13:53:26,Afternoon,1137.94,Vijayanagar
Jalebi,2024-04-06,20:56:22,Evening,545.89,HSR Layout
Halwa (Assorted),2024-11-25,09:48:56,Morning,496.87,Vijayanagar
Gulab Jamun,2024-10-11,10:00:00,Morning,120.0,Vijayanagar
Milk Burfi,2024-10-29,20:36:10,Evening,745.03,Jayanagar
Laddoo (Boondi),2024-10-12,18:52:33,Evening,335.58,HSR Layout
Rasgulla,2025-04-16,13:38:11,Afternoon,61.86,Electronic City
Gulab Jamun,2024-02-20,08:29:08,Morning,79.38,RR Nagar
Badam Milk,2024-08-03,16:26:01,Afternoon,150.68,Vijayanagar
Dharwad Peda,2024-03-16,16:01:09,Afternoon,454.15,Jayanagar
Jalebi,2024-12-31,09:14:58,Morning,373.41,Jayanagar
Samosa,2024-07-07,08:26:06,Morning,39.93,Vijayanagar
Pista Roll,2025-03-22,21:57:08,Evening,2216.39,Jayanagar
Badam Milk,2024-01-26,13:49:01,Afternoon,223.61,Vijayanagar
Sohan Papdi,2025-03-01,08:40:14,Morning,652.31,Basavanagudi
Dharwad Peda,2024-04-07,10:03:54,Morning,735.88,Jayanagar
Halwa (Assorted),2025-06-21,17:00:52,Evening,407.3,RR Nagar
Samosa,2024-12-30,18:21:55,Evening,22.59,Jayanagar
Kaju Katli,2024-03-26,11:49:14,Morning,866.96,Basavanagudi
Chiroti,2024-11-27,18:21:25,Evening,230.92,RR Nagar
Badam Milk,2025-06-03,12:33:06,Afternoon,111.89,Koramangala
Mysore Pak,2025-05-20,21:02:49,Evening,380.35,Koramangala
Dharwad Peda,2024-02-17,12:55:41,Afternoon,738.83,Jayanagar
Chiroti,2024-12-03,21:33:22,Evening,139.68,Electronic City
Jalebi,2025-06-30,20:28:46,Evening,362.06,RR Nagar
Pista Roll,2024-03-01,11:23:48,Morning,1157.27,Electronic City
Rasgulla,2025-04-02,16:29:49,Afternoon,56.78,Electronic City
Mysore Pak,2024-05-24,11:27:43,Morning,1123.84,RR Nagar
Chiroti,2024-04-18,17:14:49,Evening,106.28,HSR Layout
Badam Milk,2024-10-09,18:38:08,Evening,56.39,RR Nagar
Samosa,2025-03-23,16:47:27,Afternoon,68.8,Electronic City
Jalebi,2024-10-22,16:18:35,Afternoon,659.96,Malleswaram
Dharwad Peda,2024-07-11,08:03:50,Morning,884.84,RR Nagar
Halwa (Assorted),2024-12-20,16:58:35,Afternoon,581.12,Vijayanagar
Samosa,2024-02-25,14:28:41,Afternoon,59.64,HSR Layout
Jalebi,2025-01-27,21:08:06,Evening,654.68,Jayanagar
Halwa (Assorted),2024-02-06,19:45:26,Evening,475.47,RR Nagar
Gulab Jamun,2025-02-15,19:09:12,Evening,69.97,Basavanagudi
Kesar Peda,2024-07-04,18:29:30,Evening,697.11,RR Nagar
Mysore Pak,2024-07-21,12:10:19,Afternoon,204.32,Basavanagudi
Samosa,2025-04-03,21:52:57,Evening,77.46,Electronic City
Jalebi,2024-11-27,20:41:39,Evening,133.85,Vijayanagar
Jalebi,2024-12-02,16:37:57,Afternoon,534.15,Koramangala
Badam Milk,2024-05-13,19:35:21,Evening,102.29,Basavanagudi
Badam Milk,2024-07-16,17:00:27,Evening,218.5,Electronic City
Milk Burfi,2024-07-19,14:49:40,Afternoon,823.36,Electronic City
Pista Roll,2024-11-03,11:09:05,Morning,518.17,Koramangala
Badam Milk,2024-08-31,10:52:26,Morning,231.03,Malleswaram
Kaju Katli,2025-02-21,18:23:54,Evening,1510.13,Koramangala
Badam Milk,2025-05-30,14:21:24,Afternoon,232.1,Indiranagar
Kaju Katli,2024-08-29,12:51:18,Afternoon,1862.78,RR Nagar
Kesar Peda,2024-06-22,12:38:13,Afternoon,627.28,RR Nagar
Halwa (Assorted),2024-07-08,21:43:50,Evening,836.68,Malleswaram
Sohan Papdi,2024-09-14,09:23:54,Morning,766.32,HSR Layout
Pista Roll,2024-07-10,09:33:03,Morning,1691.79,Koramangala
Kesar Peda,2024-03-11,09:18:20,Morning,656.76,Indiranagar
Milk Burfi,2025-01-08,10:31:18,Morning,1028.96,Jayanagar
Samosa,2024-10-12,15:01:33,Afternoon,54.74,Jayanagar
Sohan Papdi,2024-04-13,13:17:31,Afternoon,369.9,HSR Layout
Jalebi,2025-05-14,19:25:36,Evening,675.14,Malleswaram
Rasgulla,2024-02-15,16:38:03,Afternoon,107.6,Basavanagudi
Mysore Pak,2024-10-31,12:37:26,Afternoon,1015.6,Basavanagudi
Jalebi,2025-06-05,11:39:07,Morning,134.75,Jayanagar
Mysore Pak,2024-11-09,14:10:23,Afternoon,684.97,Vijayanagar
Halwa (Assorted),2024-05-17,09:01:22,Morning,912.08,Vijayanagar
Kaju Katli,2025-06-21,18:10:19,Evening,599.61,Jayanagar
Jalebi,2025-05-25,14:23:51,Afternoon,159.71,RR Nagar
Rasgulla,2025-05-15,11:13:14,Morning,54.12,Koramangala
Mysore Pak,2025-07-10,22:35:01,Night,916.97,HSR Layout
Chiroti,2025-06-02,09:19:43,Morning,377.05,Indiranagar
Samosa,2024-11-10,15:32:00,Afternoon,74.31,Electronic City
Kaju Katli,2024-11-29,16:21:35,Afternoon,1605.58,Koramangala
Kesar Peda,2025-07-01,16:34:07,Afternoon,849.68,Vijayanagar
Kesar Peda,2025-05-25,11:08:47,Morning,305.64,Malleswaram
Gulab Jamun,2024-05-11,14:30:18,Afternoon,138.94,Jayanagar
Mysore Pak,2024-07-26,12:09:16,Afternoon,222.66,Malleswaram
Kaju Katli,2025-05-15,19:20:27,Evening,401.22,HSR Layout
Samosa,2024-08-08,20:23:48,Evening,88.46,Malleswaram
Jalebi,2025-01-17,10:32:49,Morning,421.57,RR Nagar
Gulab Jamun,2024-07-21,12:04:24,Afternoon,47.31,Electronic City
Mysore Pak,2024-06-24,13:34:37,Afternoon,774.85,RR Nagar
Pista Roll,2024-07-21,18:54:20,Evening,788.35,Jayanagar
Gulab Jamun,2024-01-18,08:03:11,Morning,37.93,Vijayanagar
Laddoo (Boondi),2025-01-22,10:30:21,Morning,217.25,HSR Layout
Samosa,2024-03-28,09:58:27,Morning,36.03,Jayanagar
Gulab Jamun,2025-01-15,09:10:22,Morning,66.73,Jayanagar
Gulab Jamun,2024-02-20,10:10:38,Morning,142.16,Malleswaram
Rasgulla,2024-12-25,18:16:05,Evening,112.59,Jayanagar
Rasgulla,2025-02-16,15:16:45,Afternoon,29.79,Electronic City
Chiroti,2024-09-16,10:19:22,Morning,317.24,Electronic City
Gulab Jamun,2025-05-25,14:32:02,Afternoon,46.86,Koramangala
Rasgulla,2024-01-26,14:20:54,Afternoon,86.32,Vijayanagar
Halwa (Assorted),2024-12-16,19:30:54,Evening,479.42,HSR Layout
Sohan Papdi,2024-01-18,08:21:58,Morning,626.16,Indiranagar
Badam Milk,2024-09-06,22:15:20,Night,196.15,RR Nagar
Pista Roll,2024-11-17,10:31:01,Morning,775.84,Vijayanagar
Milk Burfi,2025-06-09,09:48:46,Morning,841.77,HSR Layout
Samosa,2025-06-27,17:40:04,Evening,73.62,Vijayanagar
Jalebi,2025-02-18,16:07:54,Afternoon,326.66,Indiranagar
Rasgulla,2024-05-15,09:14:25,Morning,31.99,Basavanagudi
Laddoo (Boondi),2025-01-27,15:31:29,Afternoon,632.15,Koramangala
Mysore Pak,2025-01-30,13:03:11,Afternoon,1018.34,Vijayanagar
Chiroti,2024-09-01,21:48:38,Evening,326.68,Indiranagar
Kaju Katli,2025-04-22,22:55:49,Night,2264.17,RR Nagar
Dharwad Peda,2024-03-09,21:55:58,Evening,1206.5,Basavanagudi
Milk Burfi,2025-07-12,10:22:12,Morning,489.46,HSR Layout
Kaju Katli,2024-11-11,21:30:40,Evening,2246.62,Jayanagar
Kesar Peda,2024-07-29,20:31:07,Evening,298.42,Koramangala
Kaju Katli,2024-08-05,11:29:29,Morning,1427.74,Jayanagar
Samosa,2025-03-15,11:06:26,Morning,68.68,Basavanagudi
Jalebi,2025-05-07,16:50:17,Afternoon,353.57,RR Nagar
Laddoo (Boondi),2025-01-09,21:00:55,Evening,706.16,Jayanagar
Samosa,2024-08-04,18:19:24,Evening,35.46,Koramangala
Chiroti,2025-03-26,09:15:36,Morning,181.83,RR Nagar
Dharwad Peda,2025-01-06,11:15:54,Morning,1347.3,Indiranagar
Rasgulla,2024-11-30,21:21:01,Evening,155.36,Basavanagudi
Mysore Pak,2024-02-26,08:12:58,Morning,201.14,Jayanagar
Kesar Peda,2025-02-01,19:20:57,Evening,255.09,Malleswaram
Mysore Pak,2025-03-25,18:39:43,Evening,562.44,Indiranagar
Badam Milk,2024-09-15,18:36:27,Evening,181.59,Vijayanagar
Dharwad Peda,2025-07-10,13:32:13,Afternoon,885.17,Koramangala
Samosa,2024-09-02,09:09:43,Morning,77.62,HSR Layout
Rasgulla,2024-02-14,10:13:51,Morning,89.68,Electronic City
Rasgulla,2025-04-15,12:46:12,Afternoon,124.12,Basavanagudi
Sohan Papdi,2025-01-30,17:55:32,Evening,801.13,Vijayanagar
Laddoo (Boondi),2024-03-10,22:59:12,Night,294.06,RR Nagar
Mysore Pak,2024-03-22,19:55:38,Evening,701.0,Indiranagar
Rasgulla,2024-12-11,12:28:14,Afternoon,110.19,Vijayanagar
Mysore Pak,2024-06-21,16:59:07,Afternoon,637.48,Vijayanagar
Sohan Papdi,2024-05-01,16:18:45,Afternoon,394.79,RR Nagar
Gulab Jamun,2024-07-23,15:21:51,Afternoon,99.76,Indiranagar
Laddoo (Boondi),2024-10-15,16:34:51,Afternoon,595.66,RR Nagar
Badam Milk,2025-05-10,12:42:53,Afternoon,58.49,Koramangala
Halwa (Assorted),2024-11-17,15:31:09,Afternoon,288.88,Indiranagar
Pista Roll,2025-01-10,18:16:21,Evening,503.22,Indiranagar
Jalebi,2024-12-05,08:44:23,Morning,733.58,Malleswaram
Pista Roll,2024-01-19,14:35:04,Afternoon,2237.62,Jayanagar
Pista Roll,2024-08-20,09:30:14,Morning,874.79,Electronic City
Laddoo (Boondi),2024-07-02,17:51:56,Evening,187.02,HSR Layout
Pista Roll,2025-01-10,11:10:28,Morning,2246.81,Jayanagar
Dharwad Peda,2024-05-29,11:50:57,Morning,824.44,Koramangala
Pista Roll,2024-12-04,21:08:32,Evening,1234.87,HSR Layout
Jalebi,2024-09-15,08:38:58,Morning,539.78,Jayanagar
Dharwad Peda,2024-06-18,09:22:14,Morning,322.84,Jayanagar
Kesar Peda,2025-02-05,20:40:27,Evening,1389.59,Malleswaram
Mysore Pak,2025-01-13,19:46:37,Evening,392.4,RR Nagar
Kaju Katli,2024-09-15,20:44:23,Evening,1613.64,Malleswaram
Mysore Pak,2024-07-04,10:16:14,Morning,708.34,HSR Layout
Pista Roll,2024-01-25,10:49:37,Morning,1354.88,Malleswaram
Gulab Jamun,2024-02-07,11:41:22,Morning,40.62,Indiranagar
Milk Burfi,2024-11-27,22:09:32,Night,712.23,Malleswaram
Sohan Papdi,2025-02-14,12:27:10,Afternoon,656.68,Indiranagar
Gulab Jamun,2024-05-22,15:23:41,Afternoon,65.87,Basavanagudi
Badam Milk,2024-09-07,17:44:27,Evening,100.81,Electronic City
Sohan Papdi,2025-05-10,08:13:25,Morning,751.9,Indiranagar
Kaju Katli,2024-09-03,13:26:47,Afternoon,1208.46,Vijayanagar
Mysore Pak,2025-06-09,15:36:28,Afternoon,504.97,HSR Layout
Dharwad Peda,2025-03-07,14:33:09,Afternoon,778.03,Jayanagar
Laddoo (Boondi),2024-05-28,14:34:51,Afternoon,181.38,Koramangala
Mysore Pak,2024-05-25,13:17:03,Afternoon,284.69,HSR Layout
Mysore Pak,2025-04-02,19:08:56,Evening,224.21,Indiranagar
Milk Burfi,2025-05-27,19:29:03,Evening,265.78,Basavanagudi
Halwa (Assorted),2024-07-16,17:06:39,Evening,652.38,Indiranagar
Kaju Katli,2024-08-09,20:37:42,Evening,1208.45,Jayanagar
Halwa (Assorted),2024-07-15,11:01:06,Morning,685.82,Jayanagar
Samosa,2025-01-06,13:01:15,Afternoon,73.01,Indiranagar
Chiroti,2024-10-02,17:51:30,Evening,324.71,Koramangala
Dharwad Peda,2024-12-06,19:10:14,Evening,229.16,Koramangala
Halwa (Assorted),2024-04-29,16:14:57,Afternoon,692.16,Jayanagar
Chiroti,2025-04-25,17:26:36,Evening,134.42,Vijayanagar
Mysore Pak,2024-09-08,19:49:04,Evening,272.02,Jayanagar
Pista Roll,2024-02-20,11:03:25,Morning,1769.16,Indiranagar
Gulab Jamun,2025-02-20,18:50:20,Evening,75.35,Jayanagar
Dharwad Peda,2024-12-18,17:18:10,Evening,524.82,Indiranagar
Laddoo (Boondi),2024-10-30,10:50:48,Morning,199.36,Vijayanagar
Jalebi,2025-05-19,08:21:17,Morning,671.1,Koramangala
Halwa (Assorted),2025-06-24,10:21:51,Morning,566.64,Malleswaram
Rasgulla,2024-10-12,14:35:01,Afternoon,146.13,Vijayanagar
Sohan Papdi,2024-12-11,08:11:58,Morning,374.95,Vijayanagar
Kaju Katli,2024-12-05,11:31:21,Morning,2308.03,Jayanagar
Gulab Jamun,2024-11-11,13:16:15,Afternoon,66.8,HSR Layout
Kaju Katli,2024-08-19,16:47:21,Afternoon,803.31,Koramangala
Rasgulla,2025-07-11,16:00:09,Afternoon,66.19,Malleswaram
Kesar Peda,2025-04-15,17:42:42,Evening,806.56,Vijayanagar
Badam Milk,2025-03-02,21:12:46,Evening,178.22,Koramangala
Dharwad Peda,2024-04-15,21:45:04,Evening,1128.96,Vijayanagar
Pista Roll,2025-06-02,22:16:41,Night,2194.25,HSR Layout
Kaju Katli,2024-05-24,13:16:25,Afternoon,1744.56,RR Nagar
Mysore Pak,2024-09-16,15:18:42,Afternoon,1194.71,Malleswaram
Jalebi,2024-06-16,15:39:44,Afternoon,666.7,HSR Layout
Chiroti,2025-01-12,11:41:18,Morning,318.99,RR Nagar
Halwa (Assorted),2025-02-06,14:51:39,Afternoon,761.6,Electronic City
Samosa,2025-04-28,11:51:01,Morning,42.23,Indiranagar
Jalebi,2024-09-02,21:43:13,Evening,728.52,Vijayanagar
Kesar Peda,2025-01-28,15:22:19,Afternoon,1365.4,Koramangala
Gulab Jamun,2024-03-21,15:24:27,Afternoon,75.04,Indiranagar
Gulab Jamun,2025-01-13,22:08:58,Night,104.68,HSR Layout
Rasgulla,2024-12-13,17:11:24,Evening,46.68,Basavanagudi
Pista Roll,2024-07-29,13:44:05,Afternoon,604.87,RR Nagar
Dharwad Peda,2025-06-30,13:34:52,Afternoon,645.88,Jayanagar
Milk Burfi,2025-04-25,21:04:02,Evening,688.44,Vijayanagar
Rasgulla,2025-05-17,13:13:03,Afternoon,157.26,Electronic City
Kesar Peda,2025-03-15,13:31:08,Afternoon,1008.42,HSR Layout
Halwa (Assorted),2024-11-23,13:22:21,Afternoon,733.27,RR Nagar
Halwa (Assorted),2024-11-08,08:39:52,Morning,880.49,HSR Layout
Rasgulla,2025-07-16,21:28:47,Evening,47.45,Jayanagar
Halwa (Assorted),2024-02-11,13:28:08,Afternoon,884.85,HSR Layout
Milk Burfi,2024-04-13,13:53:43,Afternoon,592.51,Koramangala
Chiroti,2024-08-30,18:09:50,Evening,107.93,RR Nagar
Dharwad Peda,2024-07-05,21:10:55,Evening,427.17,Vijayanagar
Kesar Peda,2024-02-02,13:33:52,Afternoon,1356.7,Basavanagudi
Dharwad Peda,2024-02-15,19:49:55,Evening,1338.68,RR Nagar
Mysore Pak,2024-11-08,16:15:14,Afternoon,622.3,Electronic City
Kesar Peda,2025-02-21,15:50:28,Afternoon,1330.74,Indiranagar
Gulab Jamun,2024-03-02,14:07:18,Afternoon,76.71,Koramangala
Halwa (Assorted),2024-11-19,11:51:30,Morning,1038.13,Koramangala
Badam Milk,2024-12-24,15:33:46,Afternoon,133.17,Electronic City
Milk Burfi,2024-03-08,13:31:57,Afternoon,1110.35,Electronic City
Chiroti,2025-03-18,14:27:16,Afternoon,382.08,Malleswaram
Milk Burfi,2024-03-18,19:19:07,Evening,434.54,Koramangala
Halwa (Assorted),2025-01-24,16:59:40,Afternoon,878.63,Indiranagar
Jalebi,2025-07-03,11:39:05,Morning,213.33,Malleswaram
Pista Roll,2024-07-18,18:51:58,Evening,1232.39,Jayanagar
Badam Milk,2025-03-04,10:28:41,Morning,174.48,Indiranagar
Rasgulla,2025-03-25,18:06:59,Evening,120.02,RR Nagar
Samosa,2024-07-10,08:38:09,Morning,25.86,RR Nagar
Pista Roll,2024-03-11,15:52:14,Afternoon,1168.69,Electronic City
Samosa,2024-10-28,22:31:57,Night,69.24,Basavanagudi
Gulab Jamun,2024-11-16,09:06:18,Morning,54.59,RR Nagar
Rasgulla,2024-08-09,20:29:29,Evening,163.65,Vijayanagar
Sohan Papdi,2025-07-14,12:59:29,Afternoon,151.67,HSR Layout
Kesar Peda,2024-10-07,09:36:30,Morning,588.41,Jayanagar
Gulab Jamun,2025-05-04,21:22:30,Evening,50.59,Vijayanagar
Gulab Jamun,2024-09-26,11:24:58,Morning,46.71,Malleswaram
Mysore Pak,2025-02-13,08:26:34,Morning,997.55,HSR Layout
Badam Milk,2025-02-19,15:02:13,Afternoon,92.57,Jayanagar
Dharwad Peda,2025-04-07,13:53:53,Afternoon,589.86,HSR Layout
Pista Roll,2024-10-20,22:53:30,Night,2146.78,Koramangala
Gulab Jamun,2025-02-09,14:19:49,Afternoon,122.0,HSR Layout
Sohan Papdi,2025-05-25,21:50:11,Evening,839.26,RR Nagar
Badam Milk,2024-10-20,20:39:04,Evening,72.2,Koramangala
Kaju Katli,2024-02-11,08:09:41,Morning,903.42,RR Nagar
Pista Roll,2024-06-21,19:06:03,Evening,1248.88,Malleswaram
Kaju Katli,2024-02-12,15:05:33,Afternoon,1536.33,Electronic City
Kesar Peda,2025-03-27,16:05:23,Afternoon,1343.42,Electronic City
Rasgulla,2025-03-16,22:55:11,Night,52.96,Koramangala
